train_id,train_name,source,destination,distance_km,station_count,station_codes,avg_delay_min,avg_delay_std,avg_delay_min_prev,avg_delay_std_prev,rr_merged_at,rr_station_count,rr_source_endpoint,rr_imputed_at,rr_model_version,rr_imputed_unc_mean,rr_imputed_unc_std,pred_rr_mean_unc_calib,pred_rr_std_unc_calib,flag_any,rr_imputation_flag,rr_imputation_flag_conservative,pred_rr_mean,pred_rr_mean_conf_lower_95,pred_rr_mean_conf_upper_95,pred_rr_std,pred_rr_std_conf_lower_95,pred_rr_std_conf_upper_95,pred_rr_mean_conf_width_95,rr_imputation_flag_conformal,rr_imputation_flag_final
19955,PINAKINI EXP,KOVH,TOU,770.0,14,"KOVH,KVLS,MGV,SYM,MRK,SIE,GLP,DCU,GJJ,KOU,NDKD,VPL,TPW,TOU",24.736553087218645,13.014652978468758,61.466,12.114209838037311,2025-12-20T10:16:33.792157Z,14.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,25.23956284714807,11.72961396227046,106.6222841571159,43.01253598614194,True,True,False,,,,,,,,True,True
28317,TUNGABHADRA EXP,PDGL,BSPL,480.0,8,"PDGL,KJJ,VGT,KEF,PSA,TNR,TGU,BSPL",24.23165889796578,14.994382900256506,84.32000000000001,12.32063107149954,2025-12-20T10:16:33.792157Z,8.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,18.182596415636848,12.140565810000906,96.392091373882,40.700787399340335,True,True,False,,,,,,,,False,False
14065,NARAYANADRI EXP,PDGL,TDD,562.0,12,"PDGL,NRT,TOU,VLV,YLK,TSR,PUA,DIG,RU,VLD,NDPU,TDD",42.02415097430597,20.728564183025107,105.26,13.651472448054824,2025-12-20T10:16:33.792157Z,12.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,39.88701473088113,14.315650432145905,221.95362204393876,46.91910685527577,True,True,False,,,,,,,,False,False
25224,CIRCAR EXPRESS,AKVD,PDU,870.0,13,"AKVD,THY,ASP,DMT,SAB,STVA,TKU,GWM,KJJ,KMQA,PUN,TCNR,PDU",34.99029567929396,22.10721511302635,88.312,15.5890176085602,2025-12-20T10:16:33.792157Z,13.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,32.99637479857764,17.530282398284044,142.92077846821272,44.64649496766441,True,True,False,,,,,,,,False,False
18727,PRASHANTI EXP,ULM,ODUR,477.0,10,"ULM,RLO,HCM,UKD,HVM,BKPT,TKPY,VJA,ANB,ODUR",22.098553062724097,14.574166151690171,75.55199999999999,10.541421630880722,2025-12-20T10:16:33.792157Z,10.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,24.812587869897506,11.37855253146894,137.85635916498373,39.789209165676745,True,True,False,,,,,,,,False,False
29054,KRISHNA EXPRESS,TNKU,AKAH,780.0,11,"TNKU,BVM,KUMU,MPL,KLKA,PGU,RAM,RMV,KEF,BVO,AKAH",19.63588132049462,14.162669352886605,77.534,9.476577968866186,2025-12-20T10:16:33.792157Z,11.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,24.69441605671859,12.536154830060733,141.07648846350338,41.88041527881714,True,True,False,,,,,,,,False,False
15553,GNT NS EXP,MIPM,SYM,626.0,14,"MIPM,CPL,TIU,NYP,KOU,CKV,BVRM,PUMU,NLS,TNRU,DVD,CU,RPCA,SYM",24.96875,12.34841683931588,66.81,14.666904922307229,2025-12-20T07:12:18.818841Z,16.0,https://api.railradar.in/api/v1/trains/15553/average-delay,,,,,106.54444784237756,47.14298621140429,True,True,False,,,,,,,,False,False
15988,PRASHANTI EXP,GVL,GPY,581.0,10,"GVL,NCE,PSPY,PGRL,NS,YPD,NOSM,SVF,VJA,GPY",15.788867536071733,13.541473293214215,57.608,6.84726003595599,2025-12-20T10:16:33.792157Z,10.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,18.870252582853084,14.670647727328474,113.79136682792068,53.68669213468165,True,True,False,,,,,,,,False,False
26811,AMARAVATI EXP,BTVA,PRDT,907.0,17,"BTVA,RLO,ATP,AKAT,SCM,KNRT,PDL,BMH,NLPD,NG,GVMH,PUMU,DKSA,DVD,RPL,KLKA,PRDT",39.42029512858289,17.124731846625743,102.04,12.826427795766053,2025-12-20T10:16:33.792157Z,17.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,65.34069692481403,17.1656825056952,359.4446059756853,74.11829156338844,True,True,True,,,,,,,,False,True
15390,CHARMINAR EXP,MAG,GPY,905.0,16,"MAG,CCT,KJJ,NUJ,NLPD,PGRL,ANV,ATP,VRVL,PGDI,MOO,PPM,NDKD,PAP,VKZ,GPY",40.5341199829281,22.781671006073868,95.17,7.213227432987264,2025-12-20T10:16:33.792157Z,16.0,model:rr_imputer_v1,2025-12-20T10:16:33.792157Z,rr_imputer_v1,35.9948461328594,11.799394620280404,240.17363576891867,62.87131118836071,True,True,False,,,,,,,,False,False
