parent_train_id,parent_train_name,source_code,destination_code,distance_km,day_of_week,month,weather_condition,season,price,parent_distance,parent_avg_delay,avg_delay_min
19955,PINAKINI EXP,KOVH,KVLS,82.0,3,11,Clear,Autumn,1178.0,770.0,14.9,1.5867532467532468
19955,PINAKINI EXP,KVLS,MGV,56.0,3,11,Clear,Autumn,1178.0,770.0,14.9,1.0836363636363635
19955,PINAKINI EXP,MGV,SYM,57.0,3,11,Clear,Autumn,1178.0,770.0,14.9,1.102987012987013
19955,PINAKINI EXP,SYM,MRK,82.0,3,11,Clear,Autumn,1178.0,770.0,14.9,1.5867532467532468
19955,PINAKINI EXP,MRK,SIE,53.0,3,11,Clear,Autumn,1178.0,770.0,14.9,1.0255844155844156
19955,PINAKINI EXP,SIE,GLP,45.0,3,11,Clear,Autumn,1178.0,770.0,14.9,0.8707792207792208
19955,PINAKINI EXP,GLP,DCU,45.0,3,11,Clear,Autumn,1178.0,770.0,14.9,0.8707792207792208
19955,PINAKINI EXP,DCU,GJJ,90.0,3,11,Clear,Autumn,1178.0,770.0,14.9,1.7415584415584415
19955,PINAKINI EXP,GJJ,KOU,59.0,3,11,Clear,Autumn,1178.0,770.0,14.9,1.1416883116883116
19955,PINAKINI EXP,KOU,NDKD,98.0,3,11,Clear,Autumn,1178.0,770.0,14.9,1.8963636363636363
19955,PINAKINI EXP,NDKD,VPL,30.0,3,11,Clear,Autumn,1178.0,770.0,14.9,0.5805194805194805
19955,PINAKINI EXP,VPL,TPW,34.0,3,11,Clear,Autumn,1178.0,770.0,14.9,0.6579220779220779
19955,PINAKINI EXP,TPW,TOU,39.0,3,11,Clear,Autumn,1178.0,770.0,14.9,0.7546753246753247
28317,TUNGABHADRA EXP,PDGL,KJJ,36.0,2,9,Windy,Monsoon,569.0,480.0,32.48,2.4359999999999995
28317,TUNGABHADRA EXP,KJJ,VGT,96.0,2,9,Windy,Monsoon,569.0,480.0,32.48,6.4959999999999996
28317,TUNGABHADRA EXP,VGT,KEF,80.0,2,9,Windy,Monsoon,569.0,480.0,32.48,5.413333333333332
28317,TUNGABHADRA EXP,KEF,PSA,31.0,2,9,Windy,Monsoon,569.0,480.0,32.48,2.0976666666666666
28317,TUNGABHADRA EXP,PSA,TNR,59.0,2,9,Windy,Monsoon,569.0,480.0,32.48,3.992333333333333
28317,TUNGABHADRA EXP,TNR,TGU,89.0,2,9,Windy,Monsoon,569.0,480.0,32.48,6.022333333333333
28317,TUNGABHADRA EXP,TGU,BSPL,89.0,2,9,Windy,Monsoon,569.0,480.0,32.48,6.022333333333333
14065,NARAYANADRI EXP,PDGL,NRT,91.0,5,11,Foggy,Autumn,883.0,562.0,62.54,10.126583629893238
14065,NARAYANADRI EXP,NRT,TOU,38.0,5,11,Foggy,Autumn,883.0,562.0,62.54,4.2286832740213525
14065,NARAYANADRI EXP,TOU,VLV,15.0,5,11,Foggy,Autumn,883.0,562.0,62.54,1.6692170818505339
14065,NARAYANADRI EXP,VLV,YLK,53.0,5,11,Foggy,Autumn,883.0,562.0,62.54,5.8979003558718865
14065,NARAYANADRI EXP,YLK,TSR,49.0,5,11,Foggy,Autumn,883.0,562.0,62.54,5.452775800711743
14065,NARAYANADRI EXP,TSR,PUA,21.0,5,11,Foggy,Autumn,883.0,562.0,62.54,2.336903914590747
14065,NARAYANADRI EXP,PUA,DIG,64.0,5,11,Foggy,Autumn,883.0,562.0,62.54,7.121992882562277
14065,NARAYANADRI EXP,DIG,RU,82.0,5,11,Foggy,Autumn,883.0,562.0,62.54,9.125053380782918
14065,NARAYANADRI EXP,RU,VLD,42.0,5,11,Foggy,Autumn,883.0,562.0,62.54,4.673807829181494
14065,NARAYANADRI EXP,VLD,NDPU,78.0,5,11,Foggy,Autumn,883.0,562.0,62.54,8.679928825622776
