train_id,pred_rr_mean,pred_rr_mean_unc,pred_rr_std,pred_rr_std_unc,flag_mean,flag_std,flag_any
19955,26.224765250306863,23.346626472136375,17.390269398293817,10.395048339471048,True,True,True
28317,29.344432967588627,29.46455756579904,17.934084257257638,12.028930057984564,True,True,True
14065,24.483999477127217,22.447138373906828,17.408817472648504,10.032335121959568,True,True,True
25224,26.014091814462308,23.787758786066256,19.389826652978176,11.126433433538587,True,True,True
18727,29.852763316905676,29.583259641966126,20.298118232439123,11.550981141034406,True,True,True
29054,24.35264138243411,23.35872461306986,21.543603089207316,13.291668370775987,True,True,True
15553,27.54522672545335,21.553634722086244,17.21352154739172,8.689745128352397,True,True,True
15988,19.817278350764358,14.343731652478864,15.752504132505024,10.135903614088626,True,True,True
26811,51.13581759759989,59.90842686949714,30.88450898506034,30.560303108252047,True,True,True
15390,29.292616142461302,28.283281185840455,24.892908713624852,22.971687554852807,True,True,True
24507,24.87057203908117,24.927731085760175,17.231081059836786,9.112856615417398,True,True,True
29012,27.054384388413478,20.236380800155718,17.561925121964194,9.826986192884943,True,True,True
21679,53.97486223772958,43.44316415357017,30.840730378109594,22.204491728539857,True,True,True
18638,50.38898543442831,45.479950153215306,40.4354866195108,24.98649724883928,True,True,True
13870,70.94379685856285,69.79183482805338,32.20636296175024,23.008886886110137,True,True,True
26940,19.61839056105978,15.38590749725235,15.220708232369777,9.922308016336466,True,True,True
25701,52.09219248558113,52.95570410761058,20.279759230929567,14.025562628325291,True,True,True
13530,32.190576387499526,41.88999131256932,25.635853502905476,30.57519193564694,True,True,True
20241,18.175366897066173,20.17357210228908,13.40856883359794,9.981165737954674,True,True,True
24253,44.63544995774418,40.55442307228059,23.02338828301983,21.5490052808457,True,True,True
23313,26.902253992778974,26.69651731442308,18.397528465473137,10.390917074364522,True,True,True
20366,40.96502707884629,27.97956985357277,30.089718992153372,36.3409897329009,True,True,True
18680,27.6404961358166,31.05664293055632,15.838305759918594,11.660597186883415,True,True,True
27398,24.067142464418822,23.777549839530323,17.267226012197465,10.484067361619516,True,True,True
25908,25.417744660584514,29.001735953858116,15.334275080862856,9.50381169543365,True,True,True
27288,19.19472404990342,19.805569148802075,14.444044500749808,9.444333597530084,True,True,True
20324,33.84115248490884,37.027899252994104,22.440777617468683,19.587181777731836,True,True,True
29429,26.733704834404453,32.29606268182008,17.51076202573821,11.515155631719121,True,True,True
24040,23.653812031555443,24.54362488744467,18.442255634355607,11.088748744225972,True,True,True
12039,11.482106618560506,12.286680747838279,11.906632843909858,7.349581674300299,True,True,True
16192,31.383498401928396,29.825971520161474,19.932451313628512,11.955123816970271,True,True,True
22974,41.146280189627674,42.86534280013147,36.14889230416303,34.038712621964066,True,True,True
27436,30.723740817172114,24.314562575565834,17.57355966559931,11.534268205294417,True,True,True
